Name,Month and Year,Disaster,Begin Date,End Date,"Total CPI-Adjusted Cost, (Millions of Dollars)",Deaths
Southern Severe Storms and Flooding,April 1980,Flooding,4/10/80,4/17/80,"$2,664.50",7
Hurricane Allen,August 1980,Tropical Cyclone,8/7/80,8/11/80,"$2,159.40",13
Central/Eastern Drought/Heat Wave,Summer-Fall 1980,Drought,6/1/80,11/30/80,"$39,278.40",1260
Florida Freeze,January 1981,Freeze,1/12/81,1/14/81,"$2,007.70",0
"Severe Storms, Flash Floods, Hail, Tornadoes",May 1981,Severe Storm,5/5/81,5/10/81,"$1,365.00",20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave",January 1982,Winter Storm,1/8/82,1/16/82,"$2,144.80",85
Midwest/Plains/Southeast Tornadoes,April 1982,Severe Storm,4/2/82,4/4/82,"$1,556.00",33
Severe Storms,June 1982,Severe Storm,5/31/82,6/10/82,"$1,526.10",30
Gulf States Storms and Flooding,December 1982-January 1983,Flooding,12/1/82,1/15/83,"$4,777.20",45
Western Storms and Flooding,December 1982-March 1983,Flooding,12/13/82,3/31/83,"$4,663.80",50
Hurricane Alicia,August 1983,Tropical Cyclone,8/17/83,8/20/83,"$9,120.00",21
Southeast Drought,Summer 1983,Drought,6/1/83,8/31/83,"$9,247.90",0
Arizona Flooding,October 1983,Flooding,9/29/83,10/3/83,"$1,212.00",14
Freeze / Cold Wave,December 1983,Freeze,12/15/83,12/25/83,"$6,258.50",151
"Tornadoes, Severe Storms, Floods",Spring 1984,Severe Storm,3/27/84,4/7/84,"$1,791.60",80
Severe Storms and Hail,June 1984,Severe Storm,6/13/84,6/17/84,"$1,311.80",1
"Winter Storm, Cold Wave",January 1985,Winter Storm,1/19/85,1/22/85,"$2,418.80",150
Florida Freeze,January 1985,Freeze,1/20/85,1/22/85,"$3,468.00",0
Ohio and Pennsylvania Tornado Outbreak,June 1985,Severe Storm,5/31/85,5/31/85,"$1,704.00",89
Hurricane Elena,September 1985,Tropical Cyclone,8/30/85,9/3/85,"$3,671.60",4
Hurricane Gloria,September 1985,Tropical Cyclone,9/26/85,9/28/85,"$2,414.00",11
Hurricane Juan,October 1985,Tropical Cyclone,10/27/85,10/31/85,"$4,205.80",63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding",November 1985,Flooding,11/3/85,11/8/85,"$3,920.00",62
Western Severe Storms and Flooding,February 1986,Severe Storm,2/14/86,2/16/86,"$1,478.10",13
Southeast Drought/Heat Wave,Summer 1986,Drought,6/1/86,8/31/86,"$5,014.10",100
Michigan Flooding,September 1986,Flooding,9/10/86,9/12/86,"$1,108.00",10
U.S. Drought/Heat Wave,Summer 1988,Drought,6/1/88,8/31/88,"$52,810.20",454
Southern Derecho and Severe Storms,May 1989,Severe Storm,5/1/89,5/6/89,"$1,356.60",21
Tropical Storm Allison,June 1989,Tropical Cyclone,6/26/89,6/28/89,"$1,439.10",11
Hurricane Hugo,September 1989,Tropical Cyclone,9/21/89,9/22/89,"$21,959.80",86
Northern Plains Drought,Summer-Fall 1989,Drought,6/1/89,11/30/89,"$7,568.10",0
Florida Freeze,December 1989,Freeze,12/23/89,12/25/89,"$5,040.00",10
"Winter Storm, Cold Wave",December 1989,Winter Storm,12/21/89,12/26/89,"$1,646.10",100
Southern Flooding,May 1990,Flooding,5/11/90,5/19/90,"$2,376.30",13
Colorado Hail Storm,July 1990,Severe Storm,7/11/90,7/11/90,"$1,918.90",0
Western Fire Season,Summer 1990,Wildfire,6/1/90,8/31/90,"$1,658.80",17
California Freeze,December 1990,Freeze,12/18/90,12/25/90,"$8,126.00",0
"Severe Storms, Tornadoes",March 1991,Severe Storm,3/26/91,3/29/91,"$1,457.60",0
Hurricane Bob,August 1991,Tropical Cyclone,8/18/91,8/20/91,"$3,351.50",18
U.S. Drought,Spring-Summer 1991,Drought,3/1/91,8/31/91,"$6,829.30",0
Oakland Firestorm,October 1991,Wildfire,10/1/91,10/31/91,"$7,326.00",25
Severe Storms,March 1992,Severe Storm,3/24/92,3/25/92,"$1,761.60",0
"Hail, Tornadoes",April 1992,Severe Storm,4/28/92,4/29/92,"$2,090.20",0
"Severe Storms, Hail",June 1992,Severe Storm,6/19/92,6/20/92,"$1,630.60",0
Hurricane Andrew,August 1992,Tropical Cyclone,8/23/92,8/27/92,"$58,590.00",61
Hurricane Iniki,September 1992,Tropical Cyclone,9/11/92,9/12/92,"$6,696.00",7
Southeast Severe Weather,November 1992,Severe Storm,11/21/92,11/23/92,"$1,412.80",26
Northeast Winter Storm,December 1992,Winter Storm,12/10/92,12/13/92,"$5,338.70",19
East Coast Blizzard and Severe Weather,March 1993,Winter Storm,3/11/93,3/14/93,"$11,772.60",270
Northern Plains and Ohio Valley Severe Weather,July 1993,Severe Storm,7/8/93,7/10/93,"$1,358.80",1
Midwest Flooding,Summer 1993,Flooding,6/27/93,8/15/93,"$44,856.20",48
Southeast Drought and Heat Wave,Summer 1993,Drought,6/1/93,8/31/93,"$2,692.30",16
California Wildfires,Fall 1993,Wildfire,9/1/93,11/30/93,"$2,880.20",4
"Winter Storm, Cold Wave",January 1994,Winter Storm,1/17/94,1/20/94,"$2,173.60",70
Southeast Ice Storm,February 1994,Winter Storm,2/8/94,2/13/94,"$6,235.00",9
Midwest/Plains Tornadoes,April 1994,Severe Storm,4/25/94,4/27/94,"$2,039.20",3
Tropical Storm Alberto,July 1994,Tropical Cyclone,7/7/94,7/10/94,"$2,057.00",32
Texas Flooding,October 1994,Flooding,10/16/94,10/25/94,"$2,040.00",19
Western Fire Season,Summer-Fall 1994,Wildfire,6/1/94,11/30/94,"$1,493.50",0
California Flooding,January-March 1995,Flooding,1/1/95,3/31/95,"$5,075.00",27
Texas Hail Storm,April 1995,Severe Storm,4/28/95,4/28/95,"$1,155.80",0
South Plains Severe Weather,May 1995,Severe Storm,5/5/95,5/7/95,"$10,972.90",32
Hurricane Erin,August 1995,Tropical Cyclone,8/1/95,8/7/95,"$1,700.00",6
Hurricane Marilyn,September 1995,Tropical Cyclone,9/15/95,9/17/95,"$4,179.00",13
"Central, Southern and Northeast Drought/Heat Wave",September 1995,Drought,7/1/95,9/30/95,"$1,958.60",872
Hurricane Opal,October 1995,Tropical Cyclone,10/4/95,10/6/95,"$9,331.10",27
Blizzard/Floods,January 1996,Winter Storm,1/1/96,1/31/96,"$5,946.10",187
Pacific Northwest Severe Flooding,February 1996,Flooding,2/7/96,2/12/96,"$1,996.50",9
Southern Plains Drought,Spring-Summer 1996,Drought,3/1/96,8/31/96,"$3,547.10",0
Hurricane Fran,September 1996,Tropical Cyclone,9/5/96,9/8/96,"$9,663.60",37
New England Flooding,October 1996,Flooding,10/19/96,10/22/96,"$1,304.70",1
West Coast Flooding,December 1996-January 1997,Flooding,1/1/97,1/11/97,"$5,792.60",36
Mississippi and Ohio Valley Severe Weather and Flooding,March 1997,Severe Storm,2/28/97,3/5/97,"$1,866.80",67
Northern Plains Flooding,Spring 1997,Flooding,2/3/97,5/24/97,"$7,022.10",11
Northeast Ice Storm,January 1998,Winter Storm,1/5/98,1/9/98,"$2,649.40",16
Western/Eastern Severe Weather and Flooding,Winter-Spring 1998,Severe Storm,12/1/97,2/28/98,"$1,898.50",132
Minnesota Severe Storms/Hail,May 1998,Severe Storm,5/15/98,5/15/98,"$3,050.40",1
"Northern Plains and Great Lakes Derecho, Tornadoes",June 1998,Severe Storm,5/30/98,6/2/98,"$2,128.70",20
Central and Eastern Severe Storms and Flooding,June 1998,Severe Storm,6/20/98,6/24/98,"$1,672.20",12
Tropical Storm Frances,September 1998,Tropical Cyclone,8/8/98,8/13/98,"$1,309.00",2
Hurricane Bonnie,August 1998,Tropical Cyclone,8/27/98,8/29/98,"$1,832.70",3
Southern Drought and Heat Wave,Summer 1998,Drought,6/1/98,8/31/98,"$6,668.10",200
Hurricane Georges,September 1998,Tropical Cyclone,9/20/98,9/29/98,"$11,131.20",16
Texas Flooding,October 1998,Flooding,10/16/98,10/24/98,"$1,752.30",31
California Freeze,December 1998,Freeze,12/20/98,12/28/98,"$4,725.00",0
Central and Eastern Winter Storm,January 1999,Winter Storm,1/1/99,1/4/99,"$1,920.30",25
Central and Eastern Winter Storm,Mid-January 1999,Winter Storm,1/13/99,1/16/99,"$1,640.80",0
Oklahoma and Kansas Tornadoes,May 1999,Severe Storm,5/3/99,5/6/99,"$3,702.30",55
Eastern Drought/Heat Wave,Summer 1999,Drought,6/1/99,8/31/99,"$4,647.90",502
Hurricane Floyd,September 1999,Tropical Cyclone,9/14/99,9/16/99,"$11,813.50",77
Southeast Winter Storm,January 2000,Winter Storm,1/21/00,1/24/00,"$1,278.00",4
Southern Severe Weather,March 2000,Severe Storm,3/28/00,3/29/00,"$1,228.20",0
Western Fire Season,Spring-Summer 2000,Wildfire,3/1/00,8/31/00,"$1,913.50",0
South Florida Flooding,October 2000,Flooding,10/3/00,10/4/00,"$1,575.00",3
Western/Central/Southeast Drought/Heat Wave,Spring-Fall 2000,Drought,3/1/00,11/30/00,"$9,045.10",140
Midwest/Ohio Valley Hail and Tornadoes,April 2001,Severe Storm,4/6/01,4/11/01,"$5,323.10",3
North Central Severe Weather,May 2001,Severe Storm,4/30/01,5/1/01,"$1,154.20",0
Tropical Storm Allison,June 2001,Tropical Cyclone,6/5/01,6/17/01,"$14,572.70",43
Severe Storms and Tornadoes,April 2002,Severe Storm,4/27/02,4/28/02,"$3,559.40",7
Hurricane Lili,October 2002,Tropical Cyclone,8/1/02,8/5/02,"$1,866.60",2
Tropical Storm Isidore,September 2002,Tropical Cyclone,9/25/02,9/27/02,"$1,943.50",5
Eastern Tornadoes and Severe Storms,November 2002,Severe Storm,11/9/02,11/11/02,"$1,209.60",28
U.S. Drought,Spring-Fall 2002,Drought,3/1/02,11/30/02,"$15,491.20",0
Western Fire Season,Fall 2002,Wildfire,9/1/02,11/30/02,"$2,235.60",21
Severe Storms/Hail,April 2003,Severe Storm,4/4/03,4/7/03,"$3,330.50",3
Severe Storms/Tornadoes,May 2003,Severe Storm,5/3/03,5/10/03,"$6,853.20",51
Midwest/Plains Severe Weather,July 2003,Severe Storm,7/4/03,7/9/03,"$1,424.50",7
Southern Derecho and Eastern Severe Weather,July 2003,Severe Storm,7/21/03,7/23/03,"$1,673.50",7
Hurricane Isabel,September 2003,Tropical Cyclone,9/18/03,9/19/03,"$9,048.60",55
California Wildfires,Fall 2003,Wildfire,9/1/03,11/30/03,"$6,419.20",22
Western/Central Drought/Heat Wave,Spring-Fall 2003,Drought,3/1/03,11/30/03,"$8,429.70",35
"Severe Storms, Hail, Tornadoes",May 2004,Severe Storm,5/21/04,5/27/04,"$1,632.40",4
Colorado Hail Storms,June 2004,Severe Storm,6/8/04,6/9/04,"$1,119.00",0
Hurricane Charley,August 2004,Tropical Cyclone,8/13/04,8/14/04,"$25,759.20",35
Hurricane Frances,September 2004,Tropical Cyclone,9/3/04,9/9/04,"$15,777.90",48
Hurricane Ivan,September 2004,Tropical Cyclone,9/12/04,9/21/04,"$33,005.80",57
Hurricane Jeanne,September 2004,Tropical Cyclone,9/15/04,9/29/04,"$12,069.40",28
Southeast Severe Weather,March 2005,Severe Storm,3/24/05,3/27/05,"$1,366.70",0
Hurricane Dennis,July 2005,Tropical Cyclone,7/9/05,7/11/05,"$3,892.30",15
Hurricane Katrina,August 2005,Tropical Cyclone,8/25/05,8/30/05,"$193,795.70",1833
Midwest Drought,Spring-Summer 2005,Drought,3/1/05,8/31/05,"$2,359.60",0
Hurricane Rita,September 2005,Tropical Cyclone,9/20/05,9/24/05,"$28,305.20",119
Hurricane Wilma,October 2005,Tropical Cyclone,10/24/05,10/24/05,"$29,070.00",35
Severe Storms and Tornadoes,March 2006,Severe Storm,3/8/06,3/13/06,"$2,046.50",10
Midwest/Southeast Tornadoes,"April 6-8, 2006",Severe Storm,4/6/06,4/8/06,"$2,421.80",10
Midwest Tornadoes,April 2006,Severe Storm,4/13/06,4/16/06,"$3,659.50",27
Northeast Flooding,June 2006,Flooding,6/25/06,6/28/06,"$2,282.40",20
North Central Severe Weather and Tornadoes,August 2006,Severe Storm,8/23/06,8/24/06,"$1,138.50",1
Midwest/Plains/Southeast Drought,Spring-Summer 2006,Drought,3/1/06,8/31/06,"$9,236.50",0
Central Severe Weather,October 2006,Severe Storm,10/2/06,10/5/06,"$1,327.50",1
Numerous Wildfires,2006,Wildfire,1/1/06,12/31/06,"$2,259.10",28
California Freeze,January 2007,Freeze,1/11/07,1/17/07,"$2,114.00",1
Spring Freeze,April 2007,Freeze,4/4/07,4/10/07,"$3,086.60",0
East/South Severe Weather and Flooding,April 2007,Severe Storm,4/13/07,4/17/07,"$3,711.50",9
Western Wildfires,Summer 2007,Wildfire,6/1/07,8/31/07,"$4,002.50",12
Western/Eastern Drought/Heat Wave,Summer-Fall 2007,Drought,6/1/07,11/30/07,"$5,342.70",15
"Western, Central and Northeast Severe Weather",January 2008,Severe Storm,1/4/08,1/9/08,"$1,424.20",12
Southeast Tornadoes and Severe Weather,February 2008,Severe Storm,2/5/08,2/6/08,"$1,744.80",57
Southeast Tornadoes,March 2008,Severe Storm,3/14/08,3/15/08,"$1,617.30",5
Southern Severe Weather,April 2008,Severe Storm,4/9/08,4/11/08,"$1,476.20",2
Midwest Tornadoes and Severe Weather,May 2008,Severe Storm,5/22/08,5/27/08,"$4,271.60",13
Midwest/Mid-Atlantic Severe Weather,June 2008,Severe Storm,6/6/08,6/12/08,"$2,273.90",18
Midwest Flooding,Summer 2008,Flooding,4/1/08,6/30/08,"$14,439.80",24
Hurricane Dolly,July 2008,Tropical Cyclone,7/23/08,7/25/08,"$1,761.50",3
Hurricane Gustav,September 2008,Tropical Cyclone,8/31/08,9/3/08,"$8,335.80",53
Hurricane Ike,September 2008,Tropical Cyclone,9/12/08,9/14/08,"$41,698.30",112
U.S. Wildfires,Fall 2008,Wildfire,9/1/08,11/30/08,"$1,715.30",16
U.S. Drought,2008,Drought,1/1/08,12/31/08,"$10,164.60",0
Southeast/Ohio Valley Severe Weather,February 2009,Severe Storm,2/10/09,2/11/09,"$2,506.00",10
Midwest/Southeast Tornadoes,March 2009,Severe Storm,3/25/09,3/28/09,"$2,346.00",0
South/Southeast Severe Weather and Tornadoes,April 2009,Severe Storm,4/9/09,4/10/09,"$2,045.00",6
Central Derecho and Tornadoes,May 2009,Severe Storm,5/7/09,5/9/09,"$1,231.30",7
"Midwest, South and East Severe Weather",June 2009,Severe Storm,6/9/09,6/12/09,"$1,872.60",0
Colorado Hail Storm,July 2009,Severe Storm,7/20/09,7/20/09,"$1,420.00",0
Georgia Flooding,September 2009,Flooding,9/19/09,9/22/09,"$1,266.90",10
Western Wildfires,Summer-Fall 2009,Wildfire,6/1/09,11/30/09,"$1,426.70",10
Southwest/Great Plains Drought,2009,Drought,1/1/09,12/31/09,"$5,063.40",0
Northeast Winter Storm,February 2010,Winter Storm,2/9/10,2/11/10,"$1,152.10",3
Northeast Flooding,March 2010,Flooding,3/1/10,3/31/10,"$2,600.30",11
East/South Flooding and Severe Weather,May 2010,Flooding,4/30/10,5/2/10,"$3,195.40",32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather",May 2010,Severe Storm,5/10/10,5/12/10,"$4,667.30",3
Rockies/Central/East Severe Weather,June 2010,Severe Storm,6/10/10,6/15/10,"$1,261.40",2
Midwest/Northeast Severe Storms and Flooding,July 2010,Severe Storm,7/20/10,7/23/10,"$1,327.70",0
Arizona Severe Weather,October 2010,Severe Storm,10/5/10,10/6/10,"$5,320.00",0
Groundhog Day Blizzard,February 2011,Winter Storm,2/1/11,2/3/11,"$2,493.90",36
Midwest/Southeast Tornadoes and Derecho,April 2011,Severe Storm,4/4/11,4/5/11,"$3,774.30",9
Southeast/Midwest Tornadoes,April 2011,Severe Storm,4/8/11,4/11/11,"$2,963.80",0
Midwest/Southeast Tornadoes,April 2011,Severe Storm,4/14/11,4/16/11,"$2,800.50",38
Ohio Valley Derecho and Southern Tornadoes,April 2011,Severe Storm,4/19/11,4/20/11,"$1,411.00",0
Southeast/Ohio Valley/Midwest Tornadoes,April 2011,Severe Storm,4/25/11,4/28/11,"$13,901.80",321
Midwest/Southeast Tornadoes,May 2011,Severe Storm,5/22/11,5/27/11,"$12,280.60",177
Mississippi River flooding,April-May 2011,Flooding,4/1/11,5/31/11,"$4,150.50",7
Midwest/Southeast Tornadoes and Severe Weather,June 2011,Severe Storm,6/18/11,6/22/11,"$2,075.20",3
Missouri River flooding,May-June 2011,Flooding,5/1/11,6/30/11,"$2,783.30",5
North Central Severe Weather,"July 1, 2011",Severe Storm,7/1/11,7/1/11,"$1,198.90",0
Rockies and Midwest Derecho,"July 10-11, 2011",Severe Storm,7/10/11,7/11/11,"$1,667.20",2
Midwest/Southeast Severe Weather,"August 17-18, 2011",Severe Storm,8/17/11,8/18/11,"$1,554.50",0
Hurricane Irene,August 2011,Tropical Cyclone,8/26/11,8/28/11,"$18,216.90",45
Southern Plains/Southwest Drought and Heat Wave,Spring-Summer 2011,Drought,3/1/11,8/31/11,"$16,631.10",95
Tropical Storm Lee,September 2011,Tropical Cyclone,9/1/11,9/5/11,"$3,366.80",21
Northeastern Winter Storm,October 2011,Winter Storm,10/29/11,10/30/11,"$1,248.90",1
"Texas, New Mexico, Arizona Wildfires",Summer-Fall 2011,Wildfire,6/1/11,11/30/11,"$2,458.10",5
Southeast/Ohio Valley Tornadoes,March 2012,Severe Storm,3/2/12,3/3/12,"$4,161.20",42
Texas Tornadoes,April 2012,Severe Storm,4/2/12,4/3/12,"$1,350.30",0
Midwest Tornadoes,April 2012,Severe Storm,4/13/12,4/14/12,"$1,494.40",6
